engine,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
after,sim,500,,,poor,-12.0,average,fading,,2000,577.6,27.7,35.8,0.773,0,1,1,5,16,92,4,2,0,1,0.1
after,sim,500,,,poor,-12.0,average,fading,,2000,592.6,27.0,35.8,0.754,0,1,0,6,17,94,6,2,0,1,0.1
after,sim,500,,,poor,-12.0,average,fading,,2000,608.6,26.3,35.8,0.734,0,1,0,4,17,97,8,0,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,583.0,27.4,35.8,0.766,0,1,0,4,16,93,4,0,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,583.0,27.4,35.8,0.766,0,1,0,4,16,93,7,2,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,562.7,28.4,35.8,0.794,0,1,0,4,15,90,4,0,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,577.6,27.7,35.8,0.773,0,1,0,4,16,92,6,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,581.8,27.5,35.8,0.768,0,1,0,6,17,92,4,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,583.0,27.4,35.8,0.766,0,1,0,4,16,93,4,0,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,572.3,28.0,35.8,0.781,0,1,1,5,16,91,2,0,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,562.7,28.4,35.8,0.794,0,1,0,4,15,90,4,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,606.4,26.4,35.8,0.737,0,1,0,6,16,94,8,2,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,572.3,28.0,35.8,0.781,0,1,1,5,16,91,3,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,572.3,28.0,35.8,0.781,0,1,1,5,16,91,5,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,592.6,27.0,35.8,0.754,0,1,0,6,17,94,6,3,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,577.6,27.7,35.8,0.773,0,1,0,4,16,92,3,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,597.9,26.8,35.8,0.747,0,1,0,6,17,95,8,2,0,1,0.1
after,sim,500,,,poor,-12.0,average,fading,,2000,572.3,28.0,35.8,0.781,0,1,1,5,16,91,3,1,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,597.9,26.8,35.8,0.747,0,1,0,6,17,95,7,2,0,1,0.2
after,sim,500,,,poor,-12.0,average,fading,,2000,577.6,27.7,35.8,0.773,0,1,1,5,16,92,4,1,0,1,0.2
after,sim,500,,,poor,-6.0,average,fading,,2000,276.0,58.0,76.1,0.762,1,3,2,4,8,42,3,0,0,1,0.1
after,sim,500,,,poor,-6.0,average,fading,,2000,270.6,59.1,76.1,0.777,1,3,2,4,8,41,2,0,0,1,0.1
